,,,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der Tatverdächtigen bei Einschleusungen von Ausländern in Deutschland von 2017 bis 2023,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2023 gab es insgesamt 2.731 Tatverdächtige bei Einschleusungsdelikten von Ausländern gemäß § 96 Absatz 1 und 4 des Aufenthaltsgesetztes und 1.402 Tatverdächtige bei Schleusungsdelikten gemäß §96 Absatz 2 . Innerhalb des betrachteten Zeitraums ist die Anzahl der Tatverdächtigen auf neue Höchststande angestiegen. 

 § 96 Absatz 1 des Aufenthaltsgesetzes behandelt das Einschleusen von Ausländern und das Anstiften oder Hilfeleisten beim Einschleusen, sowie das Erhalten oder sich versprechen lassen von Vermögensvorteilen durch das Einschleusen. Absatz 4 behandelt die Zuwiderhandlung gegen Rechtsvorschriften über die Einreise und den Aufenthalt von Ausländern in der Europäischen Union oder eines Schengen-Staates. 
In § 96 Absatz 2 werden folgenden Schleusungsdelikte geregelt, wenn...: 
 
 gewerbsmäßig gehandelt wird 
 als Mitglied einer Bande agiert wird 
 eine Schusswaffe mit sich geführt wird 
 eine andere Waffe mitgeführt wird, die bei der Tat verwendet werden soll 
 wenn das Leben der Geschleusten gefährdet wird, sie unmenschlich oder erniedrigend behandelt werden bzw. der Gefahr einer schweren Gesundheitsschädigung ausgesetzt werden 
 "
,Quelle,Bundeskriminalamt; Bundespolizei,,
,Erhebung durch,Bundeskriminalamt; Bundespolizei,,
,Erhebungszeitraum,2017 bis 2023,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,"Straftaten gemäß §96 Abs. 1, 2 und 4 des Aufenthaltsgesetzes",,
,Hinweis, * Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. ,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,August 2024,,
,Herkunftsverweis,"Bundeslagebild Schleusungskriminalität 2023, Seite 4*",,
,ID,1342047,,
,,,,
,Tatverdächtige bei Einschleusungen von Ausländern in Deutschland bis 2023,,,
,Anzahl der Tatverdächtigen bei Einschleusungen von Ausländern in Deutschland von 2017 bis 2023,,,
,,Gesamt,§96 Abs.1 und 4 AufenthG,§96 Abs. 2 AufenthG
,2017,"1,961","1,491",470
,2018,"2,001","1,619",382
,2019,"2,234","1,824",440
,2020,"2,573","2,078",514
,2021,"3,016","2,361",688
,2022,"3,221","2,380",877
,2023,"4,045","2,731","1,402"
