,,,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der polizeilich erfassten ausländerfeindlichen Straftaten und Gewalttaten in Deutschland von 2019 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,, Im Jahr 2024 wurden in Deutschland rund 9.370 ausländerfeindliche Straftaten polizeilich erfasst. Damit stieg ihre Zahl das dritte Jahr in Folge und auf einen deutlichen Höchststand. Die Gewalttaten darunter erreichten mit 885 ebenfalls einen Rekordwert. 
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2019 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,Eingangsstatistik*,,
,Hinweis," * Abgebildet werden die im jeweiligen Berichtsjahr von der Polizei aufgenommenen Straftaten. Sie werden damit bereits beim ersten Anfangsverdacht statistisch erfasst. Bei der Polizeilichen Kriminalstatistik (PKS) hingegen handelt es sich um eine Ausgangsstatistik. Dort abgebildet werden die im jeweiligen Berichtsjahr der Polizei bekannt gewordenen und durch sie endbearbeiteten Straftaten, einschließlich der mit Strafe bedrohten Versuche und der vom Zoll bearbeiteten Rauschgiftdelikte. Eine statistische Erfassung erfolgt erst bei Abgabe an die Staatsanwaltschaft.  ** Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,BMI; Bundeskriminalamt,,
,Veröffentlichungsdatum,Mai 2025,,
,Herkunftsverweis,"Politisch motivierte Kriminalität - Bundesweite Fallzahlen 2024, Seite 12**",,
,ID,1616743,,
,,,,
,Ausländerfeindliche Straftaten und Gewalttaten in Deutschland bis 2024,,,
,Anzahl der polizeilich erfassten ausländerfeindlichen Straftaten und Gewalttaten in Deutschland von 2019 bis 2024,,,
,,Ausländerfeindliche Straftaten insgesamt,Darunter: Gewalttaten,
,2019,"3,703",506,
,2020,"5,298",642,
,2021,"4,735",605,
,2022,"5,372",743,
,2023,"6,978",819,
,2024,"9,368",885,
