,,,,
,,,,
,Statistik als Exceldatei,,,
,"Anzahl der Straftatverdächtigen bei Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz in Deutschland von 2014 bis 2024",,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden bei Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz in Deutschland rund 256.000 Tatverdächtige von der Polizei ermittelt. Damit sank ihre Zahl um circa 6 Prozent gegenüber dem Vorjahr. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Zeitreihen - Grundtabelle Fälle,,
,ID,1617206,,
,,,,
,Straftatverdächtige bei Straftaten gegen Ausländergesetze in Deutschland bis 2024,,,
,"Anzahl der Straftatverdächtigen bei Straftaten gegen das Aufenthalts-, das Asyl- und das Freizügigkeitsgesetz in Deutschland von 2014 bis 2024",,,
,,,,
,2014,"146,050",,
,2015,"389,407",,
,2016,"381,296",,
,2017,"168,557",,
,2018,"148,197",,
,2019,"149,950",,
,2020,"132,696",,
,2021,"131,560",,
,2022,"204,775",,
,2023,"272,539",,
,2024,"256,401",,
