,,,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der polizeilich erfassten unerlaubten Einreisen nach Deutschland von 2011 bis 2025,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2025 wurden bis Mai rund 25.300 unerlaubte Einreisen nach Deutschland polizeilich erfasst. Hochgerechnet auf das Gesamtjahr (ohne Berücksichtigung saisonaler Unterschiede) wäre mit circa 60.700 illegalen Migrationen zu rechnen; damit würde ihre Zahl das zweite Jahr in Folge und auf den tiefsten Stand seit 2021 sinken. Dies hängt neben einem niedrigeren Zuwanderungsaufkommen auch mit einer verstärkten Kontrollintensität durch die Bundespolizei zusammen: Bereits seit September 2015 wird an der Grenze zu Österreich kontrolliert, seit Oktober 2023 an den Grenzen zu Polen, Tschechien und der Schweiz und seit September 2024 auch an den übrigen Grenzen zu Frankreich, Luxemburg, Belgien, den Niederlanden und Dänemark. Nach Einführung dieser abschreckend wirkenden Maßnahme sanken die registrierten Fallzahlen rasch wieder. 
 Was sind unerlaubte Einreisen? 
 Unerlaubt (bzw. illegal oder irregulär) ist eine Einreise vor allem dann, wenn die entsprechende Person keinen gültigen Pass mit sich führt, aufgrund ihrer Staatsangehörigkeit (betrifft viele Nicht-EU-Länder) eigentlich ein Visum bzw. einen anderen Aufenthaltstitel für den Grenzübertritt benötigt hätte oder ein Einreiseverbot gegen sie vorliegt. Allerdings kann auch eine unerlaubt eingereiste Person oft zunächst in Deutschland bleiben, wenn sie nachträglich einen Asylantrag stellt, und ebenso können bei Grenzkontrollen Asylsuchende legal ins Land gelassen werden, um ein entsprechendes Verfahren zu durchlaufen - die neue unionsgeführte Bundesregierung will dies jedoch strikter handhaben und mehr zurückweisen . 
 Debatte um Migrationspolitik 
 Die Asyl- und Migrationspolitik gehört in Deutschland spätestens seit der sog. ""Flüchtlingskrise"" 2015/2016 zu den meistdiskutierten gesellschaftlichen Themen. Ereignisse wie die islamistisch motivierten Messerangriffe in Mannheim und Solingen im Jahr 2024 führten zu politischen Maßnahmen bzw. Verschärfungen auch im Einreise- und Aufenthaltsrecht . Allerdings sind viele Regelungen in diesem Bereich an die europäische Asyl- und Flüchtlingspolitik geknüpft. "
,Quelle,Bundespolizei,,
,Erhebung durch,Bundespolizei,,
,Erhebungszeitraum,2011 bis 2025*,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis, * Der Wert für 2025 bezieht sich auf den Zeitraum Januar bis Mai. ** Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. ,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundespolizei,,
,Veröffentlichungsdatum,Juni 2025,,
,Herkunftsverweis,bundespolizei.de**,,
,ID,353771,,
,,,,
,Unerlaubte Einreisen nach Deutschland bis 2025,,,
,Anzahl der polizeilich erfassten unerlaubten Einreisen nach Deutschland von 2011 bis 2025,,,
,,,,
,2011,"21,156",,
,2012,"25,670",,
,2013,"32,533",,
,2014,"57,092",,
,2015,"217,237",,
,2016,"111,843",,
,2017,"50,154",,
,2018,"42,478",,
,2019,"40,610",,
,2020,"35,435",,
,2021,"57,637",,
,2022,"91,986",,
,2023,"127,549",,
,2024,"83,572",,
,2025*,"25,298",,
