,,,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der polizeilich erfassten Fälle des Einschleusens von Ausländern nach Deutschland von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland insgesamt rund 7.950 Fälle des Einschleusens von Ausländern polizeilich erfasst. Damit stieg die Anzahl insgesamt und auf einen Höchststand im Beobachtungszeitraum.

Abgebildet werden die Fälle des Einschleusens von Ausländern gemäß § 96 und § 97 Aufenthaltsgesetz. Der § 96 des Aufenthaltsgesetzes befasst sich mit dem Einschleusen von Ausländern, der § 97 des Aufenthaltsgesetzes befasst sich mit dem Einschleusen mit Todesfolge; gewerbs- und bandenmäßiges Einschleusen von Ausländern. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Bundeskriminalamt,,
,Veröffentlichungsdatum,April 2025,,
,Herkunftsverweis,Polizeiliche Kriminalstatistik (PKS) 2024 - Zeitreihen - Grundtabelle Fälle,,
,ID,39232,,
,,,,
,Schleuser-Delikte in Deutschland bis 2024,,,
,Anzahl der polizeilich erfassten Fälle des Einschleusens von Ausländern nach Deutschland von 2014 bis 2024,,,
,,Einschleusen von Ausländern gemäß § 96 Aufenthaltsgesetz,Einschleusen mit Todesfolge gemäß § 97 Aufenthaltsgesetz,
,2014,"3,612",163,
,2015,"5,140",274,
,2016,"3,666",250,
,2017,"2,500",121,
,2018,"3,070",223,
,2019,"3,050",165,
,2020,"2,995",110,
,2021,"3,628",183,
,2022,"4,324",612,
,2023,"7,159",765,
,2024,"7,607",347,
