,,,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der Salafisten / Salafismuspotenzial in Deutschland von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,, Im Jahr 2024 gab es in Deutschland geschätzt rund 11.000 Salafisten. Damit stieg das Salafismuspotenzial um circa 5 Prozent gegenüber dem Vorjahr und auf den Stand von 2022. 
,Quelle,Bundesamt für Verfassungsschutz,,
,Erhebung durch,Bundesamt für Verfassungsschutz,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis," * Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. 
 Die Werte sind laut Quelle zum Teil geschätzt und gerundet. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,BMI,,
,Veröffentlichungsdatum,Juni 2025,,
,Herkunftsverweis,"Verfassungsschutzbericht 2024, Seite 222*",,
,ID,445097,,
,,,,
,Salafisten in Deutschland bis 2024,,,
,Anzahl der Salafisten / Salafismuspotenzial in Deutschland von 2014 bis 2024,,,
,,,,
,2014,"6,680",,
,2015,"8,350",,
,2016,"9,700",,
,2017,"10,800",,
,2018,"11,300",,
,2019,"12,150",,
,2020,"12,150",,
,2021,"11,900",,
,2022,"11,000",,
,2023,"10,500",,
,2024,"11,000",,
