,,,,
,,,,
,Statistik als Exceldatei,,,
,Anzahl der Islamisten / Islamismuspotenzial in Deutschland von 2014 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 gab es in Deutschland geschätzt rund 28.300 Islamisten. Damit stieg das Islamismuspotenzial um circa 4 Prozent gegenüber dem Vorjahr und ungefähr auf den Stand von 2021. 
 Der Islamismus steht nicht für den Islam  
 Deutlich zu unterscheiden sind die Begriffe des  Islam und des Islamismus. Der Islam ist eine durch den Artikel 4 des Grundgesetzes (Religionsfreiheit) geschützte Religion und steht in keinem Verhältnis zum Phänomen des Islamismus und den damit assoziierten extremistischen Akteuren. Im Gegensatz zur weit überwiegenden Mehrheit von Anhängern des Islams legen Islamisten den islamischen Glauben als absolute Ordnung des privaten und gesellschaftlichen Lebens aus und stehen dabei freiheitlichen Grundideen und demokratischen Prinzipien feindlich gegenüber. Unter dem Oberbegriff des Islamismus werden hingegen verschiedenste verfassungsfeindliche politische Weltanschauungen zusammengefasst, die sich eben auf den Islam beziehen, jedoch in ihrer Herrschaftsordnung gegen die freiheitlich demokratische Grundordnung richten. Durch die extremistischen Strömungen und Taten wird der Islam oft als radikale Religion mit einem ideologischen Weltbild wahrgenommen - eine Vorverurteilung, mit der Muslime in Deutschland und weltweit zu kämpfen haben. Zahlreiche Initiativen weisen darauf hin, dass die terroristischen Taten nicht im Namen der breiten islamischen Bevölkerung verübt werden. In diesem Zusammenhang ist eine steigende Anzahl rassistischer und islamfeindlicher Gewalttaten in Deutschland zu verzeichnen. 
 Was ist Extremismus? 
 Kennzeichnend für Extremismus sind einerseits ein hohes Maß an Dogmatismus, andererseits ein ausgeprägtes Missionsbewusstsein. Als extremistisch wird eine Handlung dann bezeichnet, wenn sie mit der Intention ausgeführt wird, die Gültigkeit der staatlichen Verfassung in den Bereichen außer Kraft zu setzen, beziehungsweise zu beseitigen, die die Grundsätze einer freiheitlichen Demokratie gewährleisten. Extremistische Straftaten bilden dabei einen Teilbereich der von den Behörden als politisch motivierte Kriminalität (PMK) bezeichneten Straftaten. "
,Quelle,Bundesamt für Verfassungsschutz,,
,Erhebung durch,Bundesamt für Verfassungsschutz,,
,Erhebungszeitraum,2014 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis," * Im Jahr 2015 wurde von der Quelle keine Angabe zur Gesamtzahl der Islamisten in Deutschland gemacht, da für viele Organisationen keine gesicherten Zahlen vorlagen. ** Aufgrund eines Reformprozesses innerhalb der „Islamischen Gemeinschaft Millî Görüş e.V.“ (IGMG), der eine Mäßigung und infolgedessen einen schwächer werdenden Extremismusbezug der Vereinigung nach sich zog, sind die Mitglieder der Organisation laut Verfassungsschutzbericht nicht mehr in ihrer Gesamtheit dem extremistischen Personenpotenzial zuzurechnen. Unter anderem hieraus resultierte die deutliche Verringerung des Personenpotenzials im Jahr 2016. *** Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. 
 Die Werte sind laut Quelle zum Teil geschätzt und gerundet. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,BMI,,
,Veröffentlichungsdatum,Juni 2025,,
,Herkunftsverweis,"Verfassungsschutzbericht 2024, Seite 204***",,
,ID,4763,,
,,,,
,,,,
,,,,
,Islamisten in Deutschland bis 2024,,,
,Anzahl der Islamisten / Islamismuspotenzial in Deutschland von 2014 bis 2024,,,
,,,,
,2014,"43,890",,
,2015*,-,,
,2016**,"24,400",,
,2017,"25,810",,
,2018,"26,560",,
,2019,"28,020",,
,2020,"28,715",,
,2021,"28,290",,
,2022,"27,480",,
,2023,"27,200",,
,2024,"28,280",,
