,,,,
,,,,
,Statistik als Exceldatei,,,
,Inwiefern stimmen Sie den folgenden Aussagen [zu Ausländerfeindlichkeit] zu?,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Bei einer im Jahr 2024 in Deutschland durchgeführten Umfrage stimmten insgesamt 33,8 Prozent der Befragten der Aussage ""Die Bundesrepublik ist durch die vielen Ausländer in einem gefährlichen Maß überfremdet"" zu. Damit war dies die als ausländerfeindlich eingestufte Aussage mit der höchsten Zustimmung. 
 Rassistische Einstellungen in Deutschland 
 Alle drei hier dargestellten Aussagen gelten als Indikatoren von  Ausländerfeindlichkeit . Ausländer- und Fremdenfeindlichkeit tritt in vielen Formen und gegenüber einer  Vielzahl von Personengruppen auf. Dabei können sich Rassismus und Diskriminierung auch auf religiöse Überzeugungen beziehen und sich etwa als  Antisemitismus oder Islamfeindlichkeit äußern. Neben der Dokumentation entsprechender Vorfälle lässt sich Rassismus über Umfragen erfassen. So glaubten im Jahr 2022 40 Prozent der Bevölkerung, in Deutschland werde bereits  genug gegen Rassismus gemacht . Männer waren hiervon stärker überzeugt als Frauen. 
 Rechtsextremismus in Deutschland 
 Bei Straftaten mit extremistischem Hintergrund gibt es Anhaltspunkte dafür, dass sie darauf abzielten, bestimmte Verfassungsgrundsätze zu beseitigen oder außer Geltung zu setzen, die für die freiheitliche demokratische Grundordnung prägend sind. Die Tat und der Täter sind also entscheidend darin, ob der Zusammenhang zu politischen Haltungen besteht. Im Jahr 2023 gab es geschätzt 40.600  Rechtsextremisten in Deutschland. Dabei wird davon ausgegangen, dass 14.500 von ihnen auch gewaltorientiert sind. Insgesamt wurden im selben Jahr rund 25.700 rechtsextremistische Straftaten registriert, was einen neuen Höchststand bedeutete. Der größte rechtsextreme Deliktbereich waren dabei Propagandataten, gefolgt von Körperverletzungen. "
,Quelle,Uni Leipzig,,
,Erhebung durch,USUMA,,
,Erhebungszeitraum,2024,,
,Region,Deutschland,,
,Art der Befragung,Schriftliche Befragung,,
,Anzahl der Befragten,2.504,,
,Altersgruppe,ab 16 Jahre,,
,Besondere Eigenschaften,n.a.,,
,Hinweis," Von 100 Prozent abweichende Prozentpunkte sind vermutlich rundungsbedingt. 
 Der in der Fragestellung in eckigen Klammern stehende Teil wurde bei der Befragung nicht genannt und dient nur dem Verständnis dieser Statistik. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Otto-Brenner-Stiftung; Uni Leipzig; Heinrich-Böll-Stiftung,,
,Veröffentlichungsdatum,November 2024,,
,Herkunftsverweis,"Vereint im Ressentiment - Leipziger Autoritarismus Studie 2024, Seite 36/37 & 42",,
,ID,562601,,
,,,,
,Ausländerfeindliche Aussagen in Deutschland 2024,,,
,Inwiefern stimmen Sie den folgenden Aussagen [zu Ausländerfeindlichkeit] zu?,,,
,,Stimme voll und ganz zu,,
,Die Bundesrepublik ist durch die vielen Ausländer in einem gefährlichen Maß überfremdet,13.30,,
,"Die Ausländer kommen nur hierher, um unseren Sozialstaat auszunutzen",15.30,,
,"Wenn Arbeitsplätze knapp werden, sollte man die Ausländer wieder in ihre Heimat zurückschicken",11,,
