,,,,
,,,,
,Statistik als Exceldatei,,,
,Verbreitung von manifester Ausländerfeindlichkeit in Deutschland von 2002 bis 2024,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Bei einer im Jahr 2024 in Deutschland durchgeführten Umfrage äußerten 21,8 Prozent der Befragten als manifest ausländerfeindlich eingestufte Einstellungen. Damit stieg ihr Anteil die zweite Erhebung in Folge und auf den höchsten Stand seit 2018. 
 Wie wurde die Befragung durchgeführt? 
 Um die Ausländerfeindlichkeit der Befragten zu messen, wurde ihre Zustimmung zu folgenden Aussagen abgefragt: 
 
 ""Die Ausländer kommen nur hierher, um unseren Sozialstaat auszunutzen."" 
 ""Wenn Arbeitsplätze knapp werden, sollte man die Ausländer wieder in ihre Heimat zurückschicken."" 
 ""Die Bundesrepublik ist durch die vielen Ausländer in einem gefährlichen Maß überfremdet."" 
 
 
 Rassistische Einstellungen in Deutschland 
 Ausländer- und Fremdenfeindlichkeit tritt in vielen Formen und gegenüber einer  Vielzahl von Personengruppen auf. Dabei können sich Rassismus und Diskriminierung auch auf religiöse Überzeugungen beziehen und sich etwa als  Antisemitismus oder Islamfeindlichkeit äußern. Neben der Dokumentation entsprechender Vorfälle lässt sich Rassismus über Umfragen erfassen. So glaubten im Jahr 2022 40 Prozent der Bevölkerung, in Deutschland werde bereits  genug gegen Rassismus gemacht . Männer waren hiervon stärker überzeugt als Frauen. "
,Quelle,Uni Leipzig,,
,Erhebung durch,USUMA,,
,Erhebungszeitraum,2002 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,Schriftliche Befragung,,
,Anzahl der Befragten,2.504 Befragte*,,
,Altersgruppe,ab 16 Jahre,,
,Besondere Eigenschaften,n.a.,,
,Hinweis, * Anzahl der Befragten 2024; Vorjahre können variieren. ,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Otto-Brenner-Stiftung; Heinrich-Böll-Stiftung; Uni Leipzig,,
,Veröffentlichungsdatum,November 2024,,
,Herkunftsverweis,"Vereint im Ressentiment - Leipziger Autoritarismus Studie 2024, Seite 48",,
,ID,562722,,
,,,,
,Ausländerfeindlichkeit in Deutschland bis 2024,,,
,Verbreitung von manifester Ausländerfeindlichkeit in Deutschland von 2002 bis 2024,,,
,,,,
,2002,26.50,in %,
,2004,24.80,in %,
,2006,26,in %,
,2008,20.40,in %,
,2010,23.70,in %,
,2012,24.40,in %,
,2014,17.70,in %,
,2016,19.70,in %,
,2018,23.40,in %,
,2020,16.50,in %,
,2022,17,in %,
,2024,21.80,in %,
