,,,,
,,,,
,Statistik als Exceldatei,,,
,"Anzahl der politisch motivierten Straftaten im Bereich ""Ausländerkriminalität"" in Deutschland von 2001 bis 2024",,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland insgesamt 9.220 politisch motivierte Straftaten im Bereich ""Ausländerkriminalität"" polizeilich erfasst. Damit stieg ihre Zahl das vierte Jahr in Folge und auf einen deutlichen Höchststand. 
 Was sind Ausländer? 
 Ausländer/innen sind per Definition Personen, die nicht Deutsche im Sinne des Artikels 116 Absatz 1 des Grundgesetzes sind. Dazu zählen auch Staatenlose und Personen mit ungeklärter Staatsangehörigkeit. Ausländer/innen gehören zu den Personen mit Migrationshintergrund . Sie können in Deutschland geboren oder zugewandert sein. Deutsche, die zugleich eine fremde Staatsangehörigkeit besitzen , zählen nicht zur ausländischen Bevölkerung. 
 Kategorien politisch motivierter Straftaten in Deutschland 
 Phänomenbereiche von Extremismus bzw. politisch motivierter Kriminalität sind zunächst Rechtsextremismus und Linksextremismus . Außerdem wird vom Bundeskriminalamt (BKA) seit 2017 zwischen politisch motivierter Kriminalität aufgrund einer ausländischen Ideologie und solcher aufgrund religiöser Ideologie unterschieden, die zuvor unter dem Begriff Ausländerkriminalität zusammengefasst worden waren. Daneben gibt es in der Statistik stets eine Reihe von politisch motivierten Taten, die nicht eindeutig einem bestimmten Lager zugeordnet werden können. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2001 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,Eingangsstatistik**,,
,Hinweis," * Die Angaben bis 2016 beziehen sich auf den Phänomenbereich ""politisch motivierte Ausländerkriminalität"". Die Phänomenbereiche PMK -ausländische Ideologie- und PMK -religiöse Ideologie- wurden zum 1. Januar 2017 neugeschaffen, eine direkte Vergleichbarkeit für die Fallzahlen 2017 mit den Vorjahren ist nur eingeschränkt möglich. Der ab dem Jahr 2017 neu definierte Phänomenbereich PMK -religiöse Ideologie- umfasst hauptsächlich Straftaten, die bis einschließlich 2016 im Phänomenbereich Politisch motivierte Ausländerkriminalität (PMAK) unter dem Oberthema „Islamismus/ Fundamentalismus“ erfasst wurden. ** Abgebildet werden die im jeweiligen Berichtsjahr von der Polizei aufgenommenen Straftaten. Sie werden damit bereits beim ersten Anfangsverdacht statistisch erfasst. Bei der Polizeilichen Kriminalstatistik (PKS) hingegen handelt es sich um eine Ausgangsstatistik. Dort abgebildet werden die im jeweiligen Berichtsjahr der Polizei bekannt gewordenen und durch sie endbearbeiteten Straftaten, einschließlich der mit Strafe bedrohten Versuche und der vom Zoll bearbeiteten Rauschgiftdelikte. Eine statistische Erfassung erfolgt erst bei Abgabe an die Staatsanwaltschaft. *** Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,BMI; Bundeskriminalamt,,
,Veröffentlichungsdatum,Mai 2025,,
,Herkunftsverweis,"Politisch motivierte Kriminalität - Bundesweite Fallzahlen 2024, Seite 4***",,
,ID,569709,,
,,,,
,"Politisch motivierte Straftaten ""Ausländerkriminalität"" in Deutschland bis 2024",,,
,"Anzahl der politisch motivierten Straftaten im Bereich ""Ausländerkriminalität"" in Deutschland von 2001 bis 2024",,,
,,Ausländerkriminalität,Ausländische Ideologie,Religiöse Ideologie
,2001,"1,020",-,-
,2002,845,-,-
,2003,"1,743",-,-
,2004,603,-,-
,2005,771,-,-
,2006,691,-,-
,2007,902,-,-
,2008,"1,484",-,-
,2009,966,-,-
,2010,917,-,-
,2011,"1,010",-,-
,2012,868,-,-
,2013,874,-,-
,2014,"2,549",-,-
,2015,"2,025",-,-
,2016,"3,372",-,-
,2017*,-,"1,617","1,102"
,2018,-,"2,487",586
,2019,-,"1,897",425
,2020,-,"1,016",477
,2021,-,"1,153",479
,2022,-,"3,886",481
,2023,-,"5,170","1,458"
,2024,-,"7,343","1,877"
