,,,,
,,,,
,Statistik als Exceldatei,,,
,"Anzahl der politisch motivierten Gewalttaten im Bereich ""Ausländerkriminalität"" in Deutschland von 2001 bis 2024",,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland insgesamt 1.062 politisch motivierte Gewalttaten im Bereich ""Ausländerkriminalität"" polizeilich erfasst. Damit stieg ihre Zahl das dritte Jahr in Folge und auf den höchsten Stand seit 2016. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2001 bis 2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,Eingangsstatistik**,,
,Hinweis," * Die Angaben bis 2016 beziehen sich auf den Phänomenbereich ""politisch motivierte Ausländerkriminalität"". Die Phänomenbereiche PMK -ausländische Ideologie- und PMK -religiöse Ideologie- wurden zum 1. Januar 2017 neugeschaffen, eine direkte Vergleichbarkeit für die Fallzahlen 2017 mit den Vorjahren ist nur eingeschränkt möglich. Der ab dem Jahr 2017 neu definierte Phänomenbereich PMK -religiöse Ideologie- umfasst hauptsächlich Straftaten, die bis einschließlich 2016 im Phänomenbereich Politisch motivierte Ausländerkriminalität (PMAK) unter dem Oberthema „Islamismus/ Fundamentalismus“ erfasst wurden. ** Abgebildet werden die im jeweiligen Berichtsjahr von der Polizei aufgenommenen Straftaten. Sie werden damit bereits beim ersten Anfangsverdacht statistisch erfasst. Bei der Polizeilichen Kriminalstatistik (PKS) hingegen handelt es sich um eine Ausgangsstatistik. Dort abgebildet werden die im jeweiligen Berichtsjahr der Polizei bekannt gewordenen und durch sie endbearbeiteten Straftaten, einschließlich der mit Strafe bedrohten Versuche und der vom Zoll bearbeiteten Rauschgiftdelikte. Eine statistische Erfassung erfolgt erst bei Abgabe an die Staatsanwaltschaft. *** Ältere Werte wurden teilweise entsprechenden Vorjahrespublikationen entnommen. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,BMI; Bundeskriminalamt,,
,Veröffentlichungsdatum,Mai 2025,,
,Herkunftsverweis,"Politisch motivierte Kriminalität - Bundesweite Fallzahlen 2024, Seite 9***",,
,ID,569730,,
,,,,
,"Politisch motivierte Gewalttaten ""Ausländerkriminalität"" in Deutschland bis 2024",,,
,"Anzahl der politisch motivierten Gewalttaten im Bereich ""Ausländerkriminalität"" in Deutschland von 2001 bis 2024",,,
,,Ausländerkriminalität,Ausländische Ideologie,Religiöse Ideologie
,2001,144,-,-
,2002,103,-,-
,2003,122,-,-
,2004,86,-,-
,2005,71,-,-
,2006,121,-,-
,2007,129,-,-
,2008,143,-,-
,2009,144,-,-
,2010,153,-,-
,2011,256,-,-
,2012,179,-,-
,2013,167,-,-
,2014,390,-,-
,2015,345,-,-
,2016,597,-,-
,2017*,-,233,92
,2018,-,425,58
,2019,-,351,48
,2020,-,113,43
,2021,-,140,60
,2022,-,372,51
,2023,-,491,90
,2024,-,975,87
