,,,,
,,,,
,Statistik als Exceldatei,,,
,"Anzahl der politisch motivierten Straftaten mit extremistischem Hintergrund aus dem Bereich ""religiöse Ideologie"" in Deutschland nach Delikten im Jahr 2024",,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2024 wurden in Deutschland insgesamt rund 1.690 Straftaten mit extremistischem Hintergrund aus dem Bereich ""religiöse Ideologie"" begangen. Davon waren 71 Gewalttaten. "
,Quelle,Bundeskriminalamt,,
,Erhebung durch,Bundeskriminalamt,,
,Erhebungszeitraum,2024,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,inkl. Tatversuche,,
,Hinweis," Wurden mehrere Straftaten begangen, wurde ausschließlich der schwerer wiegende Straftatbestand gezählt. ",,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,BMI,,
,Veröffentlichungsdatum,Juni 2025,,
,Herkunftsverweis,"Verfassungsschutzbericht 2024, Seite 41",,
,ID,884107,,
,,,,
,Extremistische Straftaten religiöse Ideologie in Deutschland nach Delikten 2024,,,
,"Anzahl der politisch motivierten Straftaten mit extremistischem Hintergrund aus dem Bereich ""religiöse Ideologie"" in Deutschland nach Delikten im Jahr 2024",,,
,,,,
,Straftaten gesamt,"1,694",,
,Gewalttaten gesamt,71,,
,Körperverletzungen,53,,
,Versuchte Tötungsdelikte,3,,
,Vollendete Tötungsdelikte,2,,
,Andere Gewalttaten,13,,
,Sonstige Straftaten gesamt,"1,623",,
,Sachbeschädigungen,240,,
,Volksverhetzung,173,,
,Nötigung / Bedrohung,107,,
,Vorbereitung einer staatsgefährenden Gewalttat,60,,
,Mitgliedschaft in bzw. Unterstützung einer ausländischen terroristischen Vereinigung,32,,
,Andere Straftaten,"1,011",,
